"","fixed acidity","volatile acidity","citric acid","sugar","chlorides","free sulfur","total sulfur","density","pH","sulphates","alcohol"
"162",7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2
"110",8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3
"485",10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4
"701",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1
"1478",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6
"1091",10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8
"1179",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4
"1476",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667
"803",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9
"545",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4
"711",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1
"1155",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4
"15",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2
"890",10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1
"1078",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11
"1079",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11
"44",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3
"16",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2
"725",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2
"1086",6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6
"148",7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3
"47",7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2
"1208",9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10
"654",9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12
"1099",8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5
"89",9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5
"1176",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5
"822",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14
"121",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9
"1372",7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6
"1158",5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9
"1227",7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2
"339",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5
"777",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3
"131",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4
"1471",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7
"430",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4
"1404",7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10
"132",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
"133",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
"202",8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3
"1234",10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3
"1483",7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3
"269",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
"277",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
"569",9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7
"596",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3
"189",7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5
"470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8
"589",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14
"637",9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4
"266",11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2
"1438",6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1
"1159",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6
"1427",7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1
"773",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4
"268",7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8
"190",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5
"1274",7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3
"164",7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4
"270",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
"272",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
"278",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
"1076",9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2
"146",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4
"1183",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5
"778",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3
"638",9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4
"1390",6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7
"50",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2
"165",7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4
"1241",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3
"1288",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13
"394",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1
"523",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8
"348",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12
"1567",6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2
"772",9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4
"732",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5
"917",5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11
"854",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9
"855",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9
"857",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9
"1589",7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8
"833",10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9
"625",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
"626",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
"706",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9
"692",9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8
"1127",5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5
"1112",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3
"1378",5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2
"942",9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5
"727",8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1
"667",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5
"279",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6
"531",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3
"536",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3
"1232",7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8
"534",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8
"900",8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11
"58",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4
"853",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7
"76",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5
"77",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5
"200",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4
"299",7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7
"517",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9
"231",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2
"920",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8
"923",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8
"1277",8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12
"216",7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5
"365",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
"367",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
"1409",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4
"305",8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2
"329",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7
"346",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9
"1167",9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2
"911",9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2
"1408",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7
"1410",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7
"372",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7
"267",8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8
"1157",8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8
"610",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7
"246",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9
"250",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9
"980",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4
"985",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4
"1177",6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2
"1494",7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7
"1497",7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7
"489",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8
"1414",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1
"1185",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9
"1189",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9
"679",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10
"655",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5
"651",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6
"657",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6
"883",8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12
"112",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8
"275",7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4
"466",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7
"281",11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3
"1468",6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11
"567",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9
"568",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9
"1039",8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6
"616",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7
"617",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7
"1262",6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2
"1218",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12
"331",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5
"332",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5
"433",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8
"1461",6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4
"254",7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5
"1407",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9
"1413",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9
"375",14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8
"422",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
"426",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
"1389",6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3
"529",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7
"730",6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7
"336",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2
"636",8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7
"308",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5
"1377",8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10
"1204",9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4
"1119",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3
"377",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11
"376",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8
"1332",7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2
"468",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14
"460",11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9
"563",9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2
"658",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5
"498",7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1
"414",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7
"768",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5
"681",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9
"40",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5
"41",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5
"540",11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2
"1479",7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2
"21",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4
"1148",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8
"1235",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8
"1238",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8
"576",12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2
"1423",7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4
"544",11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11
"997",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8
"998",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8
"1146",8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4
"309",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5
"113",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8
"1144",7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10
"1457",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55
"738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3
"243",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8
"656",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4
"1121",7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1
"62",7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3
"235",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9
"240",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9
"193",6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5
"10",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
"12",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
"1192",6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8
"220",7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5
"1021",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9
"1022",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9
"155",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5
"157",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5
"135",7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9
"156",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5
"158",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5
"1000",6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9
"126",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4
"35",5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2
"1194",6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8
"285",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8
"286",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8
"518",10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4
"1430",7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3
"1068",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9
"1069",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9
"510",13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4
"829",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7
"1505",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4
"1508",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4
"1301",5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5
"368",10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9
"542",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11
"1585",6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6
"1411",6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9
"790",8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3
"524",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4
"1530",7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2
"818",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9
"370",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
"378",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
"356",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8
"1169",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12
"440",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3
"871",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8
"878",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8
"635",7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5
"602",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9
"604",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9
"347",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3
"1502",7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4
"1599",6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11
"742",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5
"1046",6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4
"1190",8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8
"290",11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2
